iter	Passed	Remaining
366	1817	658
367	1821	653
368	1827	648
369	1832	643
370	1837	638
371	1842	633
372	1846	628
373	1853	624
374	1858	619
375	1863	614
376	1868	609
377	1874	604
378	1878	599
379	1882	594
380	1887	589
381	1892	584
382	1896	579
383	1901	574
384	1906	569
385	1910	564
386	1915	559
387	1919	554
388	1924	549
389	1929	544
390	1934	539
391	1939	534
392	1943	529
393	1949	524
394	1953	519
395	1959	514
396	1963	509
397	1967	504
398	1972	499
399	1977	494
400	1981	489
401	1985	484
402	1991	479
403	1997	474
404	2001	469
405	2007	464
406	2012	459
407	2017	454
408	2023	450
409	2027	445
410	2032	440
411	2036	434
412	2040	429
413	2045	424
414	2050	419
415	2055	415
416	2059	409
417	2064	405
418	2069	400
419	2075	395
420	2080	390
421	2084	385
422	2088	380
423	2094	375
424	2099	370
425	2104	365
426	2109	360
427	2113	355
428	2119	350
429	2123	345
430	2128	340
431	2133	335
432	2137	330
433	2142	325
434	2147	320
435	2152	315
436	2156	310
437	2161	305
438	2166	300
439	2170	295
440	2174	290
441	2181	286
442	2185	281
443	2191	276
444	2197	271
445	2201	266
446	2208	261
447	2212	256
448	2217	251
449	2221	246
450	2226	241
451	2233	237
452	2237	232
453	2242	227
454	2246	222
455	2250	217
456	2256	212
457	2261	207
458	2266	202
459	2271	197
460	2276	192
461	2280	187
462	2284	182
463	2287	177
464	2291	172
465	2296	167
466	2300	162
467	2304	157
468	2309	152
469	2313	147
470	2317	142
471	2322	137
472	2327	132
473	2333	127
474	2337	123
475	2341	118
476	2344	113
477	2348	108
478	2353	103
479	2358	98
480	2361	93
481	2365	88
482	2368	83
483	2373	78
484	2377	73
485	2383	68
486	2387	63
487	2392	58
488	2398	53
489	2401	49
490	2404	44
491	2409	39
492	2414	34
493	2418	29
494	2424	24
495	2430	19
496	2434	14
497	2438	9
498	2441	4
499	2447	0
