iter	Accuracy	Logloss
169	0.8549079755	0.3286682527
170	0.8552147239	0.3282566905
171	0.8556748466	0.3278430004
172	0.8558282209	0.3274740004
173	0.8559815951	0.3272507446
174	0.8556748466	0.3271926337
175	0.8559815951	0.3267494922
176	0.8559815951	0.326510586
177	0.8558282209	0.3261001639
178	0.8561349693	0.3257736534
179	0.8559815951	0.325769665
180	0.8561349693	0.3253783739
181	0.8562883436	0.3250643436
182	0.8559815951	0.3245986109
183	0.8564417178	0.3243795003
184	0.8567484663	0.3241343698
185	0.8567484663	0.3236194021
186	0.8573619632	0.3232652676
187	0.8578220859	0.3229998943
188	0.8581288344	0.3223344522
189	0.8588957055	0.3218496849
190	0.8590490798	0.3216706164
191	0.8593558282	0.3214394991
192	0.8593558282	0.3210648352
193	0.8590490798	0.3207934665
194	0.8590490798	0.3204663154
195	0.859202454	0.3201377989
196	0.8593558282	0.319847088
197	0.8593558282	0.3197712927
198	0.8593558282	0.3194136582
199	0.8593558282	0.3191794935
200	0.8601226994	0.3187684124
201	0.8605828221	0.3184089477
202	0.8608895706	0.3178469796
203	0.8615030675	0.3174678035
204	0.8615030675	0.3171422427
205	0.8616564417	0.3167743404
206	0.8615030675	0.3165681622
207	0.8619631902	0.3161451753
208	0.8619631902	0.3157928559
209	0.8622699387	0.3155160136
210	0.8622699387	0.3152556191
211	0.8625766871	0.3148802057
212	0.863190184	0.3146023261
213	0.863803681	0.3143021947
214	0.8642638037	0.3139713136
215	0.8648773006	0.3134893927
216	0.8647239264	0.3131363947
217	0.8647239264	0.312868636
218	0.8645705521	0.3124228388
219	0.8651840491	0.3121296301
220	0.8656441718	0.3117253315
221	0.865797546	0.3114303784
222	0.8661042945	0.3111252415
223	0.8664110429	0.3108284727
224	0.8667177914	0.3103803837
225	0.8668711656	0.3099373772
226	0.8670245399	0.3096739011
227	0.8673312883	0.3093396501
228	0.8676380368	0.308950649
229	0.8676380368	0.3087041974
230	0.8679447853	0.3084094277
231	0.8679447853	0.3081070717
232	0.8682515337	0.3078411221
233	0.868404908	0.3074988432
234	0.868404908	0.3071719255
235	0.8687116564	0.3068096346
236	0.8688650307	0.3065001727
237	0.8687116564	0.3062790787
238	0.8690184049	0.3059387643
239	0.8693251534	0.3056119665
240	0.8694785276	0.3053306826
241	0.8693251534	0.305141064
242	0.8696319018	0.3048457889
243	0.8696319018	0.3045219375
244	0.8697852761	0.3043542423
245	0.8699386503	0.3041012016
246	0.8697852761	0.3038662683
247	0.8699386503	0.3035096941
248	0.8705521472	0.3033062284
249	0.8705521472	0.3030996546
250	0.8708588957	0.3028698746
251	0.8710122699	0.3025786677
252	0.8710122699	0.3023707524
253	0.8717791411	0.3021207554
254	0.8717791411	0.3018130489
255	0.8717791411	0.3016008206
256	0.8720858896	0.301288523
257	0.8722392638	0.3010585518
258	0.8728527607	0.3007776305
259	0.8733128834	0.3005310777
260	0.8733128834	0.3003295772
261	0.8733128834	0.3001195105
262	0.8736196319	0.2997722199
263	0.8737730061	0.2993713501
264	0.8739263804	0.2990217624
265	0.8736196319	0.298743117
266	0.8737730061	0.2984798545
267	0.8737730061	0.2981964361
268	0.8737730061	0.2980591814
269	0.8740797546	0.2977305548
270	0.8740797546	0.2974381043
271	0.8745398773	0.2972054507
272	0.8746932515	0.2969195973
273	0.875	0.2967075609
274	0.8748466258	0.2964933719
275	0.8746932515	0.2962867711
276	0.8746932515	0.2960015885
277	0.875	0.2957237617
